Timestep,1Hz,,
Voltage,Current,Bat_Temp,ambient_Temp
3.5543,0,30.948401,31.004864
3.3031,-5.981,30.951586,31.008416
3.2483,-6.0386,30.953066,30.999997
3.2265,-6.0685,30.955683,31.00518
3.214,-6.069,30.957833,30.993031
3.2039,-6.0675,30.947376,30.992107
3.1998,-5.8894,30.96064,31.015636
3.1894,-6.0628,30.951196,31.012425
3.1866,-5.9118,30.950348,30.998745
3.1785,-6.0517,30.95849,31.004687
3.1738,-6.0409,30.944191,31.005054
3.17,-6.0695,30.940639,30.997836
3.2686,0,30.962283,31.004813
3.2903,0,30.950866,31.00073
3.2959,0,30.972512,30.995977
3.2985,0,30.950309,31.005306
3.3025,0,30.966671,31.000402
3.305,0,30.972272,30.995737
3.3083,0,30.95648,31.002678
3.31,0,30.967556,31.003487
3.3123,0,30.96863,30.998328
3.3123,0,30.979011,30.998443
3.315,0,30.960894,30.998292
3.3159,0,30.97188,30.998645
3.3179,0,30.979378,30.997343
3.3183,0,30.971121,30.98762
3.3184,0,30.996193,30.997659
3.3207,0,30.981401,31.002299
3.3211,0,30.983715,31.000581
3.3204,0,30.987418,30.989618
3.3224,0,30.985801,30.9946
3.3221,0,30.975168,30.982134
3.3227,0,30.998454,31.00762
3.3233,0,30.990654,31.001287
3.3239,0,30.983979,30.990212
3.3245,0,30.99757,30.988037
3.324,0,30.993942,31.004941
3.3246,0,30.978454,30.992387
3.3251,0,31.000125,30.997925
3.3256,0,31.003335,30.994536
3.3257,0,31.005295,30.996129
3.3261,0,31.009467,30.995168
3.3269,0,31.009215,30.996383
3.3273,0,31.01982,31.002222
3.3274,0,31.00589,31.013956
3.3274,0,31.010125,30.986293
3.3284,0,31.024259,30.982829
3.3271,0,31.012513,30.991614
3.3285,0,31.019327,30.992563
3.3288,0,30.998354,30.978555
3.3285,0,30.998544,30.99891
3.329,0,31.010744,30.995711
3.3304,0,31.021238,31.007306
3.3307,0,31.024132,31.002501
3.33,0,31.011236,31.006103
3.3295,0,31.014284,30.992652
3.3303,0,31.017242,30.987178
3.3294,0,31.016167,30.992703
3.3313,0,31.024222,30.994524
3.3304,0,31.023122,30.998191
3.3303,0,31.019378,30.99188
3.3305,0,31.022286,30.997355
3.3308,0,31.032602,30.995938
3.3306,0,31.024575,30.998544
3.331,0,31.02982,31.009655
3.3312,0,31.035308,31.003411
3.3311,0,31.014903,31.015636
3.3311,0,31.037558,30.990262
3.3322,0,31.027203,31.016204
3.3313,0,31.030251,31.001653
3.3321,0,31.02188,30.996582
3.3315,0,31.025826,30.981096
3.3316,0,31.042666,30.99867
3.3314,0,31.026825,31.005194
3.3324,0,31.039061,31.005698
3.3331,0,31.029971,31.008707
3.332,0,31.028264,30.996734
